UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,FREIGHT
6673,12954,11292,0
1006,11292,14771,0
1006,14771,11292,0
1126,11423,10325,0
6081,11292,11315,0
6081,11292,12389,0
6081,11315,11292,0
6081,11503,15016,0
6081,15016,11503,0
6081,12544,11503,0
6055,10397,11292,800
6055,11292,11996,0
6035,11109,15570,0
6035,12889,11109,0
1150,10372,10800,0
1150,10800,11503,0
1150,11503,10800,0
1150,14869,10372,0
0A050,11292,14107,0
0A050,14100,11292,0
1260,10397,11109,0
1260,10397,11292,0
1260,10397,11292,14
1260,11109,10397,0
1260,11109,11298,0
1260,11122,11292,492
1260,11292,10397,0
1260,11292,10397,0
1260,11292,10397,0
1260,11292,11193,0
1260,11292,11433,0
1260,11292,11775,32
1260,11292,12889,0
1260,11292,14679,70
1260,11292,14869,0
1260,11433,11292,5
1260,13487,11292,28
1260,13851,11292,0
1260,14771,11292,0
1260,14869,11292,0
6690,10529,11292,0
6690,11109,16091,0
6690,13796,11109,0
0A875,10558,11292,4
0A875,11292,11042,10064
0A875,11292,12448,0
0A875,11292,12892,1
0A875,11292,13303,0
0A875,11292,14524,0
0A875,13341,11292,10064
10877,11292,14771,0
6725,11109,11292,2628
6725,11233,11292,1614
6725,11233,11292,252
6725,11259,11109,1280
6725,11292,10792,151
6725,11292,11140,167
6725,11292,11481,120
6725,11292,11973,0
6725,11292,11996,0
6725,11292,12896,0
6725,11292,12992,0
6725,14831,11109,1348
11033,11109,11292,0
1194,10325,10423,0
1194,10325,13930,0
1194,10325,14831,0
1194,10423,10325,0
1194,11066,10325,0
1194,14792,10372,0
16736,11292,12889,0
1130,10466,11292,0
1130,10747,11292,0
1130,11292,13796,0
1130,11292,14275,0
1130,11292,14869,0
1130,11563,11921,0
1130,11921,11563,0
1130,14576,11292,0
1130,15370,11292,0
6774,11292,13796,8878
6774,11376,11292,8878
1189,11292,13342,0
1189,14570,11292,0
6795,11292,10590,0
6795,11719,10590,0
6795,10590,11292,0
6795,10590,11719,0
6795,10590,13502,0
6795,10590,14288,0
6795,13502,10590,0
6795,14288,10590,0
6912,11840,14288,270
6912,14288,13796,270
6841,11193,11292,627144
6841,11292,11193,431309
6031,11109,11292,0
6031,14747,11109,0
6904,10558,11292,0
6904,11292,13851,0
6975,10325,11292,0
6975,10558,11292,0
6975,11283,11292,0
6975,11292,10558,0
6975,11292,11283,0
6975,11292,11292,0
6975,11292,11468,0
6975,11292,12899,0
6975,11292,12902,0
6975,11468,11292,0
6975,12899,11292,0
6975,12902,10325,0
6975,12902,11292,0
6932,11292,14081,0
6932,14288,11711,0
1177,11292,11292,0
6081,10558,11292,0
6081,11292,10409,0
6081,11292,12389,0
6081,12389,11292,0
6035,11921,12889,0
6035,12889,11921,0
0A050,11109,11292,450
0A050,11109,11298,0
0A050,11109,12278,0
0A050,11292,10721,428
0A050,11292,12892,0
0A050,11292,12992,550
0A050,13204,11292,0
0A050,13930,11109,450
0A050,14492,11292,0
0A050,14771,11292,0
0A050,14869,11109,0
1260,11292,12892,0
1260,11292,13487,0
1260,11292,13487,0
1260,11292,14869,0
1260,11433,11292,6
1260,13487,11292,53
1260,13487,11292,21
7041,11292,15370,0
7041,11986,11292,0
6700,11097,11292,0
6700,11109,12992,0
6700,11109,13486,0
6700,11109,15376,0
6700,11122,11292,0
6700,11278,11109,0
6700,11292,10140,0
6700,11292,10397,0
6700,11292,10423,0
6700,11292,11003,0
6700,11292,11097,0
6700,11292,11122,0
6700,11292,11298,0
6700,11292,11986,0
6700,11292,12266,0
6700,11292,12441,0
6700,11292,12992,0
6700,11292,13264,0
6700,11292,13871,0
6700,11292,13930,0
6700,11292,14489,0
6700,11292,14679,0
6700,11292,14730,0
6700,11292,14771,0
6700,11292,14771,0
6700,11292,14908,0
6700,11292,15041,0
6700,11298,11109,0
6700,11921,12892,0
6700,12266,11292,0
6700,12441,11292,0
6700,12888,11292,0
6700,12892,11292,0
6700,12992,11292,0
6700,13264,11292,0
6700,13486,11109,0
6700,13930,11292,0
6700,14057,11292,0
6700,14252,11921,0
6700,14679,11292,0
6700,14683,11292,0
6700,14794,11109,0
6700,14893,11292,0
6700,14908,11292,0
0A875,10140,11292,1
0A875,10529,11292,0
0A875,10721,11292,0
0A875,10849,11292,0
0A875,11292,10140,0
0A875,11292,10620,55
0A875,11292,10721,865
0A875,11292,10849,181
0A875,11292,11193,0
0A875,11292,11433,0
0A875,11292,11697,0
0A875,11292,12264,0
0A875,11292,12266,0
0A875,11292,12889,10
0A875,11292,13198,703
0A875,11292,13204,0
0A875,11292,13930,0
0A875,11292,14100,55
0A875,11292,14262,0
0A875,11292,14524,0
0A875,11292,14570,0
0A875,11292,14869,77
0A875,11292,15016,0
0A875,11292,15016,0
0A875,11292,15370,11
0A875,12264,11292,306
0A875,12266,11292,0
0A875,12266,11292,0
0A875,13198,11292,0
0A875,13204,11292,85
0A875,14262,11292,0
0A875,14262,11292,42
0A875,14524,11292,0
0A875,14570,11292,0
0A875,14683,11292,117
0A875,14689,11292,0
0A875,14771,11292,508
0A875,14771,11292,8694
0A875,14908,11292,0
0A875,15016,11292,0
0A875,15016,11292,24
0A875,15370,11292,23
6725,10994,11292,85
6725,11042,11292,1026
6725,11292,10140,0
6725,11292,10713,944
6725,11292,11433,110
6725,11292,11986,96
6725,11292,13342,0
6725,11292,14057,0
6725,11292,14100,377
6725,11292,14570,760
6725,11292,14635,0
6725,11292,15370,26
6725,11433,11292,160
6725,11986,11292,0
6725,13495,11292,345
6725,14122,11292,569
6725,14570,11292,0
6725,14635,11292,0
6725,14893,11292,6
6003,10397,11292,0
6003,11109,11292,0
6003,11292,11042,0
6003,11292,11109,0
6003,11292,11423,0
6003,11292,12278,0
6003,11292,13871,0
6003,11292,14869,0
6003,12278,11292,0
6003,14730,11292,0
6003,15370,11292,0
6460,11193,11292,0
6460,11292,11066,0
6460,11292,11433,0
6460,11292,12266,0
6460,11292,12339,0
6460,11292,13204,0
6460,11292,13204,0
6460,11292,13486,0
6460,11292,13930,0
6460,11292,13930,0
6460,11292,14107,0
6460,11292,15016,0
6460,11292,15412,0
6460,11433,11292,0
6460,12264,11292,0
6460,12266,11292,0
6460,12339,11292,0
6460,13204,11292,0
6460,13486,11292,0
6460,13930,11292,0
6460,14107,11292,0
6460,15016,11292,0
6460,15304,11292,0
6460,15412,11292,0
